prohibited_ingredient_list_final
Name;Name;Product type, body parts;Maximum Threshold
Trioxysalen;Trioxysalen;Sun protection products and bronzing products;1 mg/kg
Furocoumarines;Furocoumarines;Sun protection products and bronzing products;1 mg/kg
8-Methoxypsoralen;8-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
5-Methoxypsoralen;5-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
Safrole;Safrole;Products for dental and oral hygiene;50 ppm
Salts of 2-naphthalenesulfonic acid, 7-(benzoylamino)-4-hydroxy-3-[[4-[(4-sulfophenyl)azo]phenyl]azo]-;Salts of 2-naphthalenesulfonic acid, 7-(benzoylamino)-4-hydroxy-3-[[4-[(4-sulfophenyl)azo]phenyl]azo]-;Hair dye products;0%
Salts of 2-naphthalenesulfonic acid, 7,7'-(carbonyldiimino)bis(4-hydroxy-3-[[2-sulfo-4-[(4-sulfophenyl) azo]phenyl]azo]-;"Salts of 2-naphthalenesulfonic acid, 7,7&#39;-(carbonyldiimino)bis(4-hydroxy-3-[[2-sulfo-4-[(4-sulfophenyl) azo]phenyl]azo]-";Hair dye products;0%
Salts of 2-methoxy-4-nitrophenol;Salts of 2-methoxy-4-nitrophenol;Hair dye products;0%
Salts of 2-chloro-5-nitro-N-hydroxyethyl-p-phenylenediamine;Salts of 2-chloro-5-nitro-N-hydroxyethyl-p-phenylenediamine;Hair dye products;0%
Salts of 2-amino-3-nitrophenol;Salts of 2-amino-3-nitrophenol;Hair dye products;0%
Salts of 2-[(4-chloro-2-nitrophenyl)azo]-N-(2-methoxyphenyl)-3-oxobutanamide;Salts of 2-[(4-chloro-2-nitrophenyl)azo]-N-(2-methoxyphenyl)-3-oxobutanamide;Hair dye products;0%
Salts of 2-[(4-chloro-2-nitrophenyl)amino]ethanol;Salts of 2-[(4-chloro-2-nitrophenyl)amino]ethanol;Hair dye products;0%
Salts of 2,7-naphthalenedisulfonic acid, 5-(acetylamino)-4-hydroxy-3-((2-methylphenyl)azo)-;Salts of 2,7-naphthalenedisulfonic acid, 5-(acetylamino)-4-hydroxy-3-((2-methylphenyl)azo)-;Hair dye products;0%
Salts of 2,6-dihydroxy-4-methylpyridine;Salts of 2,6-dihydroxy-4-methylpyridine;Hair dye products;0%
Salts of 2,4-Diamino-5-methylphenoxyethanol;Salts of 2,4-Diamino-5-methylphenoxyethanol;Hair dye products;0%
Salts of 2,3-dihydro-2,2-dimethyl-6-[(4-(phenylazo)-1-naphthalenyl)azo]-1H-pyrimidine;Salts of 2,3-dihydro-2,2-dimethyl-6-[(4-(phenylazo)-1-naphthalenyl)azo]-1H-pyrimidine;Hair dye products;0%
Salts of 2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[3-oxo-N-phenylbutanamide];"Salts of 2,2&#39;-[(3,3&#39;-dichloro[1,1&#39;-biphenyl]-4,4&#39;-diyl)bis(azo)]bis[3-oxo-N-phenylbutanamide]";Hair dye products;0%
Salts of 2,2'-(1,2-ethenediyl)bis[5-((4-ethoxyphenyl)azo]benzenesulfonic acid);"Salts of 2,2&#39;-(1,2-ethenediyl)bis[5-((4-ethoxyphenyl)azo]benzenesulfonic acid)";Hair dye products;0%
Salts of 2,2'-((3-chloro-4-((2,6-dichloro-4-nitrophenyl)azo)phenyl)imino)bisethanol;"Salts of 2,2&#39;-((3-chloro-4-((2,6-dichloro-4-nitrophenyl)azo)phenyl)imino)bisethanol";Hair dye products;0%
Salts of 1-methyl-2,4,5-trihydroxybenzene;Salts of 1-methyl-2,4,5-trihydroxybenzene;Hair dye products;0%
Salts of 1-amino-4-[[4-[(dimethylamino)methyl]phenyl]amino]anthraquinone;Salts of 1-amino-4-[[4-[(dimethylamino)methyl]phenyl]amino]anthraquinone;Hair dye products;0%
Salts of 1-amino-4-(methylamino)-9,10-anthracenedione;Salts of 1-amino-4-(methylamino)-9,10-anthracenedione;Hair dye products;0%
Salts of 1-[(3-aminopropyl)amino]-4-(methylamino)anthraquinone;Salts of 1-[(3-aminopropyl)amino]-4-(methylamino)anthraquinone;Hair dye products;0%
Salts of 1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol;Salts of 1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol;Hair dye products;0%
Salts of 1,4-Dihydroxy-5,8-bis[(2-hydroxyethyl)amino]anthraquinone;Salts of 1,4-Dihydroxy-5,8-bis[(2-hydroxyethyl)amino]anthraquinone;Hair dye products;0%
Salts of 1,4-diamino-2-methoxy-9,10-anthracenedione;Salts of 1,4-diamino-2-methoxy-9,10-anthracenedione;Hair dye products;0%
Salts of 1,3-benzenediamine, 4-methyl-6-(phenylazo)-;Salts of 1,3-benzenediamine, 4-methyl-6-(phenylazo)-;Hair dye products;0%
Salts of 1,3,5-trihydroxybenzene;Salts of 1,3,5-trihydroxybenzene;Hair dye products;0%
Salts of 1,2,4-benzenetriacetate;Salts of 1,2,4-benzenetriacetate;Hair dye products;0%
Salts of (µ-((7,7'-iminobis(4-hydroxy-3-((2-hydroxy-5-(N-methylsulphamoyl) phenyl)azo)naphthalene-2-sulphonato))(6-)))dicuprate(2-);"Salts of (µ-((7,7&#39;-iminobis(4-hydroxy-3-((2-hydroxy-5-(N-methylsulphamoyl) phenyl)azo)naphthalene-2-sulphonato))(6-)))dicuprate(2-)";Hair dye products;0%
Salts of (8-[(4-amino-2-nitrophenyl)azo]-7-hydroxy-2-naphthyl) trimethylammonium;Salts of (8-[(4-amino-2-nitrophenyl)azo]-7-hydroxy-2-naphthyl) trimethylammonium;Hair dye products;0%
Polychloro copper phthalocyanine;Polychloro copper phthalocyanine;Hair dye products;0%
Poly(iminocarbonimidoyliminocarbonimidoylimino-1,6-hexanediyl), hydrochloride;Poly(iminocarbonimidoyliminocarbonimidoylimino-1,6-hexanediyl), hydrochloride;Hair dye products;0%
Phenoxazin-5-ium, 3,7-bis(diethylamino)-, chloride (1:1);Phenoxazin-5-ium, 3,7-bis(diethylamino)-, chloride (1:1);Hair dye products;0%
Phenoxazin-5-ium, 3,7-bis(diethylamino)-;Phenoxazin-5-ium, 3,7-bis(diethylamino)-;Hair dye products;0%
Phenothiazin-5-ium, 3,7-bis(dimethylamino)-, chloride;Phenothiazin-5-ium, 3,7-bis(dimethylamino)-, chloride;Hair dye products;0%
Phenothiazin-5-ium, 3,7-bis(dimethylamino)-;Phenothiazin-5-ium, 3,7-bis(dimethylamino)-;Hair dye products;0%
Phenazinium, 3,7-diamino-2,8-dimethyl-5-phenyl-, chloride;Phenazinium, 3,7-diamino-2,8-dimethyl-5-phenyl-, chloride;Hair dye products;0%
Phenazinium, 3,7-diamino-2,8-dimethyl-5-phenyl-;Phenazinium, 3,7-diamino-2,8-dimethyl-5-phenyl-;Hair dye products;0%
Nigrosine spirit soluble;Nigrosine spirit soluble;Hair dye products;0%
Nigrosine;Nigrosine;Hair dye products;0%
N5,N5-diethyltoluene-2,5-diamine monohydrochloride;N5,N5-diethyltoluene-2,5-diamine monohydrochloride;Hair dye products;0%
